id,name,entity_type,summary,aliases,operator,base_geography_kind,base_geography_code,countries_covered,stages,focuses,official_website,founder_route,sources,verified_on,source_profile,dataset_version,dataset_date,license
accelerator:500-global-flagship,500 Global Flagship Accelerator,accelerator,500 Global Flagship Accelerator is a structured acceleration program operated by 500 Global.,[],500 Global,country,US,"[""GLOBAL""]","[""not_disclosed""]","[""not_disclosed""]",https://500.co/founders/flagship,https://500.co/founders/flagship,"[{""kind"":""official_application"",""title"":""500 Global Flagship Accelerator"",""url"":""https://500.co/founders/flagship""}]",2026-07-27,ecosystem/accelerators/united-states/500-global-flagship.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:500-latam,500 LatAm Accelerator,accelerator,500 LatAm Accelerator is a structured acceleration program operated by 500 Global.,[],500 Global,country,MX,"[""LATAM""]","[""not_disclosed""]","[""not_disclosed""]",https://latam.aplica.500.co/es/programa,https://latam.aplica.500.co/es/programa,"[{""kind"":""official_application"",""title"":""500 LatAm Accelerator"",""url"":""https://latam.aplica.500.co/es/programa""}]",2026-07-27,ecosystem/accelerators/mexico/500-latam.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:ace-amazonia-impacto,Programa de Aceleração de Startups de Impacto na Amazônia,accelerator,Programa de Aceleração de Startups de Impacto na Amazônia is a structured acceleration program operated by ACE Ventures.,"[""Coalizão pelo Impacto Amazônia""]",ACE Ventures,country,BR,"[""BR""]","[""not_disclosed""]","[""not_disclosed""]",https://aceventures.com.br/coalizao-pelo-impacto/,https://aceventures.com.br/coalizao-pelo-impacto/,"[{""kind"":""official_application"",""title"":""Programa de Aceleração de Startups de Impacto na Amazônia"",""url"":""https://aceventures.com.br/coalizao-pelo-impacto/""}]",2026-07-27,ecosystem/accelerators/brazil/ace-amazonia-impacto.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:ace-funses1-digital,Aceleração Digital FUNSES1,accelerator,Aceleração Digital FUNSES1 is a structured acceleration program operated by ACE Ventures.,"[""FUNSES1""]",ACE Ventures,country,BR,"[""BR""]","[""not_disclosed""]","[""not_disclosed""]",https://aceventures.com.br/aceleracao-digital/,https://aceventures.com.br/aceleracao-digital/,"[{""kind"":""official_application"",""title"":""Aceleração Digital FUNSES1"",""url"":""https://aceventures.com.br/aceleracao-digital/""}]",2026-07-27,ecosystem/accelerators/brazil/ace-funses1-digital.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:alchemist-flagship,Alchemist Flagship,accelerator,Alchemist Flagship is a structured acceleration program operated by Alchemist Accelerator.,[],Alchemist Accelerator,country,US,"[""GLOBAL""]","[""not_disclosed""]","[""not_disclosed""]",https://www.alchemistaccelerator.com/,https://www.alchemistaccelerator.com/,"[{""kind"":""official_application"",""title"":""Alchemist Flagship"",""url"":""https://www.alchemistaccelerator.com/""}]",2026-07-27,ecosystem/accelerators/united-states/alchemist-flagship.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:aws-generative-ai,AWS Generative AI Accelerator,accelerator,AWS Generative AI Accelerator is a structured acceleration program operated by Amazon Web Services.,[],Amazon Web Services,country,US,"[""GLOBAL"",""LATAM""]","[""seed""]","[""not_disclosed""]",https://aws.amazon.com/aws-startups/learn/the-2025-aws-generative-ai-accelerator-40-startups-shooting-for-the-stars/?lang=en-US,https://aws.amazon.com/aws-startups/learn/the-2025-aws-generative-ai-accelerator-40-startups-shooting-for-the-stars/?lang=en-US,"[{""kind"":""official_application"",""title"":""AWS Generative AI Accelerator"",""url"":""https://aws.amazon.com/aws-startups/learn/the-2025-aws-generative-ai-accelerator-40-startups-shooting-for-the-stars/?lang=en-US""}]",2026-07-27,ecosystem/accelerators/united-states/aws-generative-ai.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:berkeley-skydeck,Berkeley SkyDeck Accelerator,accelerator,Berkeley SkyDeck Accelerator is a structured acceleration program operated by Berkeley SkyDeck.,[],Berkeley SkyDeck,country,US,"[""GLOBAL""]","[""not_disclosed""]","[""not_disclosed""]",https://skydeck.berkeley.edu/apply/,https://skydeck.berkeley.edu/apply/,"[{""kind"":""official_application"",""title"":""Berkeley SkyDeck Accelerator"",""url"":""https://skydeck.berkeley.edu/apply/""}]",2026-07-27,ecosystem/accelerators/united-states/berkeley-skydeck.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:boost,Boost Acceleration Camp,accelerator,Boost Acceleration Camp is a structured acceleration program operated by Boost.,"[""Boost"",""Boost AC""]",Boost,country,DO,"[""LATAM""]","[""pre_seed""]","[""not_disclosed""]",https://www.boost.do/,https://www.boost.do/aplica-ahora,"[{""kind"":""official_application"",""title"":""Boost Acceleration Camp Application"",""url"":""https://www.boost.do/aplica-ahora""},{""kind"":""official_website"",""title"":""Boost Acceleration Camp"",""url"":""https://www.boost.do/""}]",2026-07-27,ecosystem/accelerators/dominican-republic/boost.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:capital-empreendedor-rj,Capital Empreendedor RJ,accelerator,Capital Empreendedor RJ is a structured acceleration program operated by Sebrae Rio de Janeiro.,"[""Sebrae Capital Empreendedor""]",Sebrae Rio de Janeiro,country,BR,"[""BR""]","[""not_disclosed""]","[""not_disclosed""]",https://sites.rj.sebrae.com.br/clickfinancas/capital-empreendedor%E2%80%8B,https://sites.rj.sebrae.com.br/clickfinancas/capital-empreendedor%E2%80%8B,"[{""kind"":""official_application"",""title"":""Capital Empreendedor"",""url"":""https://sites.rj.sebrae.com.br/clickfinancas/capital-empreendedor%E2%80%8B""}]",2026-07-27,ecosystem/accelerators/brazil/capital-empreendedor-rj.md,2026-07-27,2026-07-27,CC0-1.0
accelerator:darwin-scale,Darwin Scale,accelerator,Darwin Scale is a structured acceleration program operated by Darwin Startups.,"[""Darwin Startups""]",Darwin Startups,country,BR,"[""BR""]","[""not_disclosed""]","[""not_disclosed""]",https://www.darwinstartups.com/darwinscale,https://www.darwinstartups.com/darwinscale,"[{""kind"":""official_application"",""title"":""Darwin Scale"",""url"":""https://www.darwinstartups.com/darwinscale""}]",2026-07-27,ecosystem/accelerators/brazil/darwin-scale.md,2026-07-27,2026-07-27,CC0-1.0
